epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.8337,1.00322,3.85615,1.45156,0.29527,0.14557,0.09446,0.06008,1.18345,3.0249,1.59228,0.00331967,0.00331967,0.00331967
2,125.608,1.07685,3.17247,1.47747,0.19829,0.27638,0.18777,0.11952,1.24434,2.60926,1.60389,0.00664642,0.00664642,0.00664642
3,171.756,1.1501,2.89565,1.53067,0.19084,0.31434,0.15034,0.07922,1.57444,3.05103,2.02097,0.00996657,0.00996657,0.00996657
4,219.919,1.20712,2.75245,1.5595,0.25186,0.29381,0.2103,0.11276,1.65037,2.77795,2.32039,0.0099703,0.0099703,0.0099703
5,269.451,1.18173,2.64205,1.55216,0.36348,0.34662,0.2877,0.1714,1.36447,2.53198,1.74116,0.0099604,0.0099604,0.0099604
6,309.156,1.17948,2.54153,1.53788,0.44281,0.36965,0.33834,0.20512,1.37446,2.4542,1.77158,0.0099505,0.0099505,0.0099505
7,353.507,1.14353,2.39758,1.51645,0.36211,0.33015,0.29724,0.17925,1.37462,2.51835,1.81665,0.0099406,0.0099406,0.0099406
8,392.351,1.12769,2.30732,1.49994,0.43747,0.38883,0.37305,0.23854,1.26159,2.23866,1.68813,0.0099307,0.0099307,0.0099307
9,431.557,1.11128,2.19259,1.47231,0.47452,0.3783,0.3589,0.22839,1.26292,2.27647,1.62405,0.0099208,0.0099208,0.0099208
10,470.592,1.08919,2.12774,1.46743,0.44199,0.43063,0.3979,0.25211,1.28014,1.99441,1.65164,0.0099109,0.0099109,0.0099109
11,510.248,1.09563,2.07828,1.47877,0.49385,0.45205,0.44736,0.28416,1.24811,1.96706,1.62016,0.009901,0.009901,0.009901
12,549.079,1.0756,2.02213,1.46486,0.52575,0.47809,0.47052,0.3099,1.20946,1.98341,1.58648,0.0098911,0.0098911,0.0098911
13,587.564,1.05824,1.93429,1.44532,0.5075,0.47051,0.48718,0.30524,1.2489,1.89274,1.59556,0.0098812,0.0098812,0.0098812
14,628.384,1.06741,1.92973,1.4407,0.59717,0.48835,0.50968,0.33093,1.17582,1.80743,1.54413,0.0098713,0.0098713,0.0098713
15,683.056,1.04049,1.83358,1.42039,0.60358,0.47052,0.51075,0.33444,1.21632,1.8871,1.61104,0.0098614,0.0098614,0.0098614
16,730.431,1.01612,1.7888,1.40974,0.59436,0.43952,0.48295,0.3073,1.24566,1.85296,1.67721,0.0098515,0.0098515,0.0098515
17,779.924,1.0345,1.75874,1.41719,0.5422,0.48845,0.51392,0.34325,1.16685,1.77017,1.53358,0.0098416,0.0098416,0.0098416
18,829.773,1.01408,1.70511,1.40431,0.64144,0.50081,0.54928,0.36509,1.17787,1.72058,1.53097,0.0098317,0.0098317,0.0098317
19,874.36,0.99397,1.69382,1.38058,0.59074,0.51697,0.5521,0.36816,1.17772,1.6684,1.54264,0.0098218,0.0098218,0.0098218
20,913.726,1.00202,1.69172,1.39797,0.65072,0.50511,0.54838,0.36922,1.15333,1.70365,1.50287,0.0098119,0.0098119,0.0098119
21,950.565,1.00529,1.63391,1.39012,0.58127,0.53578,0.56953,0.3843,1.15568,1.66647,1.52181,0.009802,0.009802,0.009802
22,987.761,1.01287,1.62751,1.40044,0.60096,0.52832,0.56355,0.38163,1.12268,1.60674,1.48469,0.0097921,0.0097921,0.0097921
23,1024.6,0.95637,1.57139,1.35508,0.63927,0.5349,0.58361,0.397,1.12397,1.63575,1.48949,0.0097822,0.0097822,0.0097822
24,1062.87,0.96293,1.57718,1.35687,0.69834,0.56556,0.61991,0.41951,1.11404,1.50689,1.47458,0.0097723,0.0097723,0.0097723
25,1110.72,0.95828,1.50943,1.36054,0.64547,0.5491,0.6015,0.41151,1.1213,1.5194,1.46817,0.0097624,0.0097624,0.0097624
26,1149.27,0.95083,1.48323,1.36032,0.63687,0.55615,0.58735,0.39318,1.13251,1.60117,1.49909,0.0097525,0.0097525,0.0097525
27,1188.74,0.95707,1.49213,1.34926,0.61904,0.53872,0.58593,0.40268,1.11499,1.55881,1.48289,0.0097426,0.0097426,0.0097426
28,1228.2,0.9365,1.45907,1.35288,0.66467,0.48274,0.5404,0.37847,1.12821,1.6264,1.49326,0.0097327,0.0097327,0.0097327
29,1267.23,0.95079,1.44716,1.35647,0.75181,0.54893,0.64652,0.45034,1.07367,1.42556,1.43095,0.0097228,0.0097228,0.0097228
30,1306.52,0.9383,1.40136,1.33102,0.71632,0.54703,0.62122,0.41615,1.12758,1.50265,1.49627,0.0097129,0.0097129,0.0097129
31,1345.16,0.92859,1.3975,1.33731,0.61457,0.54358,0.57491,0.39456,1.07682,1.50933,1.43881,0.009703,0.009703,0.009703
32,1383.23,0.91616,1.38826,1.32583,0.67133,0.55119,0.61734,0.42699,1.09037,1.44395,1.44603,0.0096931,0.0096931,0.0096931
33,1423.31,0.93132,1.40625,1.3333,0.69009,0.54812,0.59758,0.41401,1.12526,1.51033,1.48861,0.0096832,0.0096832,0.0096832
34,1461.61,0.93589,1.37127,1.33772,0.71086,0.55953,0.62902,0.43892,1.06957,1.44614,1.42992,0.0096733,0.0096733,0.0096733
35,1499.86,0.91022,1.31931,1.32094,0.70295,0.54393,0.62311,0.43917,1.04243,1.42998,1.40821,0.0096634,0.0096634,0.0096634
36,1537.96,0.88319,1.28183,1.30411,0.61652,0.59556,0.609,0.42328,1.07975,1.44289,1.43703,0.0096535,0.0096535,0.0096535
37,1574.33,0.89807,1.26541,1.31005,0.72145,0.58511,0.65125,0.44814,1.08562,1.4083,1.44779,0.0096436,0.0096436,0.0096436
38,1611.64,0.90773,1.28601,1.30874,0.61667,0.59643,0.61892,0.42894,1.08865,1.45115,1.45727,0.0096337,0.0096337,0.0096337
39,1648.25,0.89012,1.25777,1.30271,0.72116,0.56277,0.65392,0.45775,1.08476,1.35399,1.44752,0.0096238,0.0096238,0.0096238
40,1684.69,0.89614,1.25743,1.31113,0.71003,0.56177,0.64026,0.44762,1.10331,1.42897,1.48754,0.0096139,0.0096139,0.0096139
41,1720.5,0.88256,1.20637,1.28619,0.72444,0.61458,0.67909,0.47891,1.06064,1.29594,1.43204,0.009604,0.009604,0.009604
42,1757.03,0.90205,1.25175,1.31266,0.72601,0.56584,0.6512,0.46132,1.07594,1.36405,1.44176,0.0095941,0.0095941,0.0095941
