epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.624,0.94679,3.91194,1.39202,0.41808,0.19412,0.09547,0.06385,1.16204,2.9526,1.5768,0.00332547,0.00332547,0.00332547
2,173.363,1.04163,3.17085,1.44495,0.3205,0.30847,0.2305,0.15118,1.26041,2.69653,1.63539,0.00665221,0.00665221,0.00665221
3,238.241,1.09679,2.88622,1.48048,0.19459,0.06736,0.0419,0.02046,1.84839,3.51635,2.41814,0.00997235,0.00997235,0.00997235
4,304.152,1.1764,2.81821,1.52434,0.26239,0.31324,0.23062,0.14274,1.44127,2.81898,1.9295,0.0099703,0.0099703,0.0099703
5,374.191,1.1604,2.63358,1.50649,0.3717,0.368,0.32854,0.20563,1.3061,2.39434,1.65958,0.0099604,0.0099604,0.0099604
6,445.743,1.12229,2.49482,1.48848,0.4057,0.30572,0.29185,0.18351,1.35136,2.61172,1.74202,0.0099505,0.0099505,0.0099505
7,515.218,1.11498,2.35435,1.46555,0.4102,0.37853,0.34843,0.22941,1.26846,2.26295,1.65901,0.0099406,0.0099406,0.0099406
8,587.957,1.10258,2.26115,1.44772,0.56024,0.37527,0.40377,0.26913,1.20203,2.07592,1.58303,0.0099307,0.0099307,0.0099307
9,657.345,1.0578,2.11368,1.42219,0.4614,0.35733,0.35524,0.23827,1.22845,2.35719,1.65769,0.0099208,0.0099208,0.0099208
10,732.423,1.04973,2.04761,1.41914,0.50977,0.43991,0.42675,0.29243,1.19754,2.0286,1.56028,0.0099109,0.0099109,0.0099109
11,807.426,1.03822,1.97584,1.40402,0.5265,0.40035,0.42783,0.30305,1.15297,1.98316,1.50002,0.009901,0.009901,0.009901
12,878.106,1.02191,1.89226,1.38772,0.61334,0.44998,0.4871,0.34563,1.14756,1.83228,1.50082,0.0098911,0.0098911,0.0098911
13,951.43,1.01368,1.83945,1.37922,0.55734,0.4647,0.49865,0.3561,1.10932,1.80079,1.46677,0.0098812,0.0098812,0.0098812
14,1023.02,0.99694,1.7902,1.3722,0.60648,0.45633,0.50668,0.3511,1.1442,1.7853,1.50183,0.0098713,0.0098713,0.0098713
15,1097.79,0.98018,1.73652,1.36053,0.6225,0.46774,0.51322,0.36504,1.10774,1.7982,1.46097,0.0098614,0.0098614,0.0098614
16,1178.81,0.96866,1.7009,1.35096,0.60966,0.43284,0.47027,0.33089,1.1705,1.86539,1.58204,0.0098515,0.0098515,0.0098515
17,1260.71,0.97754,1.67961,1.35609,0.59555,0.49038,0.5148,0.36442,1.09591,1.73383,1.46113,0.0098416,0.0098416,0.0098416
18,1338.53,0.95395,1.61588,1.33859,0.6169,0.48486,0.54864,0.39717,1.06471,1.65968,1.43535,0.0098317,0.0098317,0.0098317
19,1413.35,0.94259,1.5844,1.32645,0.72055,0.48071,0.568,0.41069,1.08391,1.6073,1.44954,0.0098218,0.0098218,0.0098218
20,1486.66,0.93162,1.52896,1.31899,0.67189,0.48629,0.54535,0.39403,1.08904,1.68974,1.48083,0.0098119,0.0098119,0.0098119
21,1562.78,0.93857,1.50915,1.33225,0.62705,0.51776,0.56034,0.4087,1.05074,1.62934,1.41143,0.009802,0.009802,0.009802
22,1639.91,0.93128,1.48059,1.31298,0.65634,0.49713,0.56817,0.41581,1.02167,1.58748,1.3573,0.0097921,0.0097921,0.0097921
23,1714.98,0.9212,1.46766,1.30789,0.66773,0.49453,0.56064,0.405,1.04688,1.61753,1.40806,0.0097822,0.0097822,0.0097822
24,1783.22,0.93501,1.43955,1.31069,0.6748,0.49091,0.56504,0.40863,1.05962,1.59193,1.41383,0.0097723,0.0097723,0.0097723
25,1852.54,0.91375,1.40719,1.30409,0.69006,0.51523,0.58066,0.43925,1.02969,1.56402,1.38066,0.0097624,0.0097624,0.0097624
26,1927.31,0.89428,1.37263,1.28512,0.68158,0.52013,0.58091,0.42931,1.02937,1.52205,1.38479,0.0097525,0.0097525,0.0097525
27,2017.06,0.89841,1.37578,1.29644,0.70097,0.50805,0.59584,0.43636,1.02986,1.4665,1.39028,0.0097426,0.0097426,0.0097426
28,2095.53,0.87869,1.32611,1.27483,0.6756,0.54323,0.59684,0.43696,1.04165,1.50521,1.39895,0.0097327,0.0097327,0.0097327
29,2169.79,0.8905,1.31552,1.28157,0.67507,0.51346,0.58211,0.4269,1.0218,1.47544,1.37729,0.0097228,0.0097228,0.0097228
30,2246.88,0.86475,1.28723,1.26352,0.70716,0.53701,0.61426,0.45652,1.02467,1.49838,1.37516,0.0097129,0.0097129,0.0097129
