epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1062.86,0.72602,0.9637,1.22751,0.77679,0.58055,0.65802,0.4676,1.10246,1.44073,1.54054,0.000508444,0.000508444,0.000508444
43,1087.34,0.73703,0.98337,1.23,0.68093,0.56108,0.62973,0.4475,1.07177,1.45683,1.47788,0.000506503,0.000506503,0.000506503
44,1112.12,0.70736,0.97156,1.22367,0.75022,0.62077,0.6762,0.48088,1.07231,1.40482,1.5028,0.000504563,0.000504563,0.000504563
45,1136.85,0.71415,0.96209,1.21816,0.72161,0.61148,0.65267,0.46889,1.05124,1.4431,1.44653,0.000502622,0.000502622,0.000502622
46,1161.52,0.70287,0.95086,1.2149,0.70984,0.60269,0.65935,0.48074,1.04935,1.39622,1.47315,0.000500682,0.000500682,0.000500682
47,1185.91,0.72922,0.95154,1.22056,0.73313,0.60377,0.65826,0.47819,1.02841,1.42222,1.42782,0.000498742,0.000498742,0.000498742
48,1209.08,0.70054,0.92831,1.20331,0.73243,0.58586,0.65331,0.47487,1.05591,1.40277,1.45467,0.000496801,0.000496801,0.000496801
49,1229.03,0.68945,0.91408,1.20301,0.74168,0.62604,0.6694,0.50139,1.01635,1.35583,1.43051,0.000494861,0.000494861,0.000494861
50,1247.2,0.68285,0.89899,1.2006,0.78727,0.54159,0.66453,0.48768,1.0199,1.39864,1.45504,0.00049292,0.00049292,0.00049292
51,1265.43,0.70344,0.89401,1.21138,0.75085,0.60495,0.67925,0.49424,1.04548,1.34341,1.46694,0.00049098,0.00049098,0.00049098
52,1283.9,0.68169,0.89758,1.20271,0.71492,0.58018,0.62743,0.45498,1.03558,1.48159,1.46158,0.00048904,0.00048904,0.00048904
53,1302.57,0.67278,0.83109,1.18627,0.68414,0.62992,0.67615,0.48028,1.04412,1.38663,1.45648,0.000487099,0.000487099,0.000487099
54,1325.11,0.6837,0.86739,1.19558,0.73432,0.62642,0.68012,0.49416,1.04055,1.35126,1.46931,0.000485159,0.000485159,0.000485159
55,1344.68,0.68903,0.84743,1.20412,0.69668,0.59014,0.64916,0.46746,1.05503,1.34845,1.49427,0.000483218,0.000483218,0.000483218
56,1363.72,0.68763,0.86556,1.18569,0.72201,0.59951,0.64699,0.46075,1.08248,1.40214,1.5651,0.000481278,0.000481278,0.000481278
57,1382.37,0.68322,0.8559,1.18567,0.72782,0.64529,0.69788,0.50516,1.07027,1.28948,1.51216,0.000479338,0.000479338,0.000479338
58,1401.12,0.67519,0.87125,1.19315,0.74746,0.57807,0.65477,0.47435,1.04774,1.42149,1.48815,0.000477397,0.000477397,0.000477397
59,1419.77,0.6858,0.82117,1.19448,0.75904,0.5637,0.66098,0.46923,1.07529,1.39212,1.49732,0.000475457,0.000475457,0.000475457
60,1438.8,0.67413,0.80713,1.18223,0.74161,0.59046,0.67088,0.49283,1.03754,1.38293,1.48066,0.000473516,0.000473516,0.000473516
61,1457.46,0.68273,0.82831,1.18787,0.73975,0.61361,0.67996,0.49999,1.02718,1.34159,1.46004,0.000471576,0.000471576,0.000471576
62,1476.25,0.63455,0.79125,1.15027,0.75201,0.61008,0.67715,0.48745,1.0434,1.3745,1.50303,0.000469636,0.000469636,0.000469636
63,1495.1,0.64368,0.79314,1.17047,0.72875,0.58651,0.66037,0.49418,1.03527,1.41851,1.50862,0.000467695,0.000467695,0.000467695
64,1514.01,0.64661,0.75889,1.16092,0.6939,0.60127,0.64314,0.48116,1.01104,1.38917,1.44437,0.000465755,0.000465755,0.000465755
65,1532.81,0.66798,0.78987,1.1702,0.71375,0.58703,0.63413,0.45439,1.0917,1.42358,1.52703,0.000463814,0.000463814,0.000463814
66,1551.48,0.6448,0.76914,1.15745,0.79194,0.59451,0.6847,0.49578,1.10013,1.34559,1.52352,0.000461874,0.000461874,0.000461874
67,1570.53,0.66699,0.8141,1.17236,0.73698,0.61587,0.6808,0.49041,1.07329,1.33994,1.51148,0.000459934,0.000459934,0.000459934
68,1589.35,0.63545,0.76721,1.14593,0.76726,0.59329,0.67566,0.49181,1.03477,1.37176,1.47141,0.000457993,0.000457993,0.000457993
69,1608.14,0.64908,0.77201,1.16844,0.7784,0.61252,0.68457,0.49576,1.03688,1.35256,1.47195,0.000456053,0.000456053,0.000456053
70,1626.73,0.64205,0.75355,1.15253,0.82557,0.59633,0.68732,0.49765,1.06742,1.34207,1.51381,0.000454112,0.000454112,0.000454112
71,1645.2,0.62891,0.72055,1.14395,0.70484,0.62205,0.66343,0.48538,1.07145,1.35604,1.50826,0.000452172,0.000452172,0.000452172
72,1663.72,0.64165,0.76819,1.16515,0.73903,0.65924,0.69924,0.50567,1.052,1.27725,1.47871,0.000450232,0.000450232,0.000450232
73,1682.47,0.63832,0.77834,1.16097,0.73231,0.62792,0.70528,0.51988,1.02565,1.26375,1.46779,0.000448291,0.000448291,0.000448291
74,1701.3,0.63311,0.75106,1.1472,0.7406,0.62793,0.67128,0.49337,1.02862,1.32336,1.49223,0.000446351,0.000446351,0.000446351
75,1720.02,0.62269,0.7363,1.14944,0.76845,0.57588,0.6537,0.47267,1.08599,1.40945,1.52237,0.00044441,0.00044441,0.00044441
76,1738.63,0.60782,0.71534,1.13237,0.76807,0.6066,0.67712,0.49621,1.04484,1.31277,1.46833,0.00044247,0.00044247,0.00044247
77,1757,0.6319,0.73263,1.14802,0.7692,0.60732,0.6926,0.51469,1.0189,1.31677,1.43511,0.00044053,0.00044053,0.00044053
78,1775.66,0.63141,0.70611,1.14994,0.75911,0.61837,0.69139,0.50304,1.04656,1.26186,1.50401,0.000438589,0.000438589,0.000438589
79,1794.15,0.64012,0.73783,1.15914,0.72713,0.63662,0.67709,0.48954,1.02077,1.36092,1.4501,0.000436649,0.000436649,0.000436649
80,1812.7,0.61396,0.7221,1.1371,0.75645,0.64354,0.69919,0.50445,1.04798,1.35128,1.49612,0.000434708,0.000434708,0.000434708
81,1830.67,0.6119,0.67594,1.13743,0.79734,0.62432,0.70213,0.50135,1.07588,1.24843,1.53076,0.000432768,0.000432768,0.000432768
82,1848.8,0.60323,0.67445,1.12699,0.78371,0.64946,0.70044,0.51636,1.02336,1.30911,1.46498,0.000430828,0.000430828,0.000430828
83,1867.38,0.63695,0.72031,1.13422,0.73771,0.61314,0.66891,0.48968,1.04222,1.32911,1.47323,0.000428887,0.000428887,0.000428887
84,1885.46,0.59796,0.66517,1.1243,0.80418,0.61514,0.70658,0.52275,1.01585,1.31047,1.45765,0.000426947,0.000426947,0.000426947
85,1903.53,0.62194,0.6755,1.13598,0.7046,0.65598,0.69199,0.50143,1.023,1.27507,1.46017,0.000425006,0.000425006,0.000425006
86,1921.61,0.59067,0.6667,1.11665,0.70979,0.64326,0.67293,0.49881,1.03585,1.33436,1.4907,0.000423066,0.000423066,0.000423066
87,1939.67,0.61878,0.67782,1.13824,0.69499,0.64276,0.66937,0.48728,1.08397,1.31866,1.51798,0.000421126,0.000421126,0.000421126
88,1957.84,0.59217,0.67026,1.12211,0.79643,0.61139,0.69918,0.51103,1.07107,1.29385,1.51825,0.000419185,0.000419185,0.000419185
89,1976.38,0.58236,0.65907,1.10873,0.79881,0.6176,0.67954,0.49086,1.07588,1.35203,1.51894,0.000417245,0.000417245,0.000417245
90,1994.58,0.59804,0.64918,1.11789,0.75214,0.64041,0.7139,0.5236,1.01563,1.24531,1.4675,0.000415304,0.000415304,0.000415304
91,2012.68,0.60335,0.66211,1.12496,0.73406,0.61607,0.67795,0.50169,1.05233,1.33301,1.48995,0.000413364,0.000413364,0.000413364
92,2030.74,0.58339,0.64309,1.1148,0.76863,0.61243,0.67789,0.50323,1.01617,1.33396,1.46418,0.000411424,0.000411424,0.000411424
93,2048.93,0.59055,0.64513,1.11863,0.73968,0.61534,0.68541,0.50581,1.03197,1.29331,1.48101,0.000409483,0.000409483,0.000409483
94,2067.01,0.58577,0.6539,1.11371,0.71942,0.64253,0.69253,0.5171,1.02281,1.32821,1.50086,0.000407543,0.000407543,0.000407543
95,2085.06,0.60166,0.64241,1.1256,0.77032,0.61309,0.68146,0.50079,1.05461,1.32453,1.49855,0.000405602,0.000405602,0.000405602
96,2103.15,0.60234,0.66542,1.1255,0.79216,0.60439,0.68769,0.49634,1.04608,1.3348,1.49194,0.000403662,0.000403662,0.000403662
97,2122.35,0.60212,0.66263,1.12551,0.80348,0.63875,0.71328,0.52448,1.00845,1.24225,1.45513,0.000401722,0.000401722,0.000401722
98,2144.35,0.58699,0.63345,1.11993,0.76076,0.62162,0.70312,0.5163,1.02559,1.27347,1.46278,0.000399781,0.000399781,0.000399781
99,2162.41,0.60266,0.63068,1.12202,0.74551,0.62461,0.6698,0.49162,1.06521,1.37237,1.52224,0.000397841,0.000397841,0.000397841
