epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.6514,0.94567,3.94305,1.38822,0.40998,0.12485,0.08348,0.05523,1.20504,3.15679,1.62937,0.00332155,0.00332155,0.00332155
2,122.899,1.03022,3.16597,1.44006,0.19873,0.27738,0.1784,0.10903,1.31838,2.70657,1.7127,0.0066483,0.0066483,0.0066483
3,186.263,1.08254,2.7925,1.46931,0.41583,0.26195,0.22755,0.12646,1.5932,2.73067,1.92273,0.00996844,0.00996844,0.00996844
4,244.906,1.17284,2.75792,1.51452,0.30309,0.26054,0.21605,0.12994,1.48013,2.85307,1.92844,0.0099703,0.0099703,0.0099703
5,303.719,1.14457,2.55146,1.49139,0.44579,0.32655,0.33067,0.20902,1.3782,2.42089,1.77892,0.0099604,0.0099604,0.0099604
6,361.656,1.10614,2.36621,1.45244,0.42277,0.36037,0.3367,0.22823,1.26727,2.49494,1.64205,0.0099505,0.0099505,0.0099505
7,419.575,1.08953,2.22188,1.4434,0.42277,0.37643,0.37194,0.24758,1.25006,2.31704,1.64345,0.0099406,0.0099406,0.0099406
8,485.091,1.07831,2.12918,1.42961,0.46256,0.37633,0.3643,0.24649,1.25125,2.28142,1.61506,0.0099307,0.0099307,0.0099307
9,558.092,1.03649,1.98992,1.40371,0.51234,0.421,0.43617,0.30496,1.18004,2.01856,1.55277,0.0099208,0.0099208,0.0099208
10,621.138,1.04618,1.96197,1.40151,0.56351,0.38403,0.42444,0.28841,1.24706,2.15597,1.64782,0.0099109,0.0099109,0.0099109
11,683.374,1.04232,1.89239,1.39515,0.59016,0.4136,0.45115,0.3244,1.16076,2.02962,1.52351,0.009901,0.009901,0.009901
12,746.266,1.01709,1.80529,1.37672,0.54123,0.47005,0.47717,0.33867,1.15639,1.88678,1.5083,0.0098911,0.0098911,0.0098911
13,808.471,0.98762,1.74999,1.35693,0.6133,0.43004,0.47295,0.33476,1.17713,1.92148,1.53949,0.0098812,0.0098812,0.0098812
14,870.793,0.97749,1.67689,1.34963,0.56188,0.43948,0.44794,0.30933,1.22051,2.20559,1.62841,0.0098713,0.0098713,0.0098713
15,934.331,0.9668,1.62668,1.34496,0.57437,0.49817,0.5109,0.36239,1.12389,1.79977,1.4643,0.0098614,0.0098614,0.0098614
16,997.734,0.98439,1.61315,1.34646,0.59983,0.50611,0.55553,0.40011,1.09381,1.66492,1.43043,0.0098515,0.0098515,0.0098515
17,1056.85,0.95989,1.57778,1.33874,0.708,0.48859,0.55877,0.4166,1.06409,1.68661,1.43078,0.0098416,0.0098416,0.0098416
