epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1941.43,0.79127,1.08847,1.2565,0.69618,0.54401,0.59223,0.43836,0.98702,1.5069,1.45388,0.0095941,0.0095941,0.0095941
43,1975.62,0.76731,1.05985,1.24856,0.68815,0.56292,0.59554,0.43805,0.98084,1.44311,1.43837,0.0095842,0.0095842,0.0095842
44,2010.08,0.77517,1.05976,1.25043,0.62198,0.57339,0.59549,0.44407,0.95153,1.44074,1.3948,0.0095743,0.0095743,0.0095743
45,2044.19,0.78077,1.05773,1.2533,0.64995,0.56458,0.60681,0.45223,0.94012,1.37483,1.38278,0.0095644,0.0095644,0.0095644
46,2078.58,0.7602,1.0283,1.24798,0.70087,0.57383,0.6491,0.47241,0.94464,1.35435,1.39182,0.0095545,0.0095545,0.0095545
47,2113.06,0.78425,1.0557,1.26003,0.68158,0.56534,0.6223,0.45498,0.93896,1.33781,1.38609,0.0095446,0.0095446,0.0095446
48,2147.54,0.76867,1.0276,1.24604,0.71705,0.52938,0.62765,0.45489,0.95193,1.3652,1.40332,0.0095347,0.0095347,0.0095347
49,2182.46,0.75931,1.0341,1.24074,0.68034,0.59017,0.63941,0.46583,0.97728,1.31379,1.42504,0.0095248,0.0095248,0.0095248
50,2216.91,0.76782,1.00414,1.25177,0.74887,0.55861,0.6382,0.46623,0.96088,1.36478,1.40529,0.0095149,0.0095149,0.0095149
51,2251.31,0.75841,1.01605,1.23922,0.72884,0.57753,0.64862,0.47594,0.97299,1.30702,1.43425,0.009505,0.009505,0.009505
52,2285.55,0.74049,0.98206,1.22734,0.7188,0.55991,0.62398,0.46129,0.94698,1.35399,1.4224,0.0094951,0.0094951,0.0094951
53,2324.64,0.75496,0.98015,1.24278,0.75393,0.56064,0.63841,0.46806,0.96193,1.34701,1.41429,0.0094852,0.0094852,0.0094852
54,2359.49,0.74099,0.94348,1.21927,0.71246,0.55218,0.63378,0.46642,0.96285,1.32355,1.40631,0.0094753,0.0094753,0.0094753
55,2393.98,0.73445,0.9483,1.22557,0.66347,0.60062,0.64166,0.4835,0.92558,1.27373,1.35099,0.0094654,0.0094654,0.0094654
56,2428.29,0.74174,0.95628,1.22443,0.70935,0.58581,0.6543,0.4855,0.93709,1.30225,1.38569,0.0094555,0.0094555,0.0094555
57,2462.76,0.73651,0.93643,1.22152,0.7113,0.58869,0.65647,0.48019,0.95581,1.32478,1.39399,0.0094456,0.0094456,0.0094456
58,2503.26,0.72067,0.92733,1.21073,0.7188,0.55132,0.63067,0.4678,0.93602,1.36804,1.38596,0.0094357,0.0094357,0.0094357
59,2546.03,0.7345,0.94616,1.22456,0.68725,0.59092,0.64557,0.47766,0.94224,1.27595,1.38714,0.0094258,0.0094258,0.0094258
60,2587.81,0.74388,0.93017,1.22385,0.73667,0.54255,0.63745,0.4686,0.97137,1.32725,1.4225,0.0094159,0.0094159,0.0094159
61,2630.41,0.73577,0.9258,1.21739,0.7427,0.5766,0.64608,0.47149,0.9859,1.30515,1.4535,0.009406,0.009406,0.009406
62,2673.28,0.72454,0.90167,1.20822,0.66176,0.60521,0.64753,0.47447,0.94103,1.2623,1.40741,0.0093961,0.0093961,0.0093961
63,2716.7,0.71979,0.86587,1.20738,0.72344,0.57378,0.64185,0.4726,0.96738,1.31096,1.41504,0.0093862,0.0093862,0.0093862
64,2762.47,0.72676,0.92155,1.21042,0.71565,0.57194,0.63628,0.47565,0.95297,1.30849,1.43064,0.0093763,0.0093763,0.0093763
65,2807.7,0.72223,0.88166,1.19895,0.7391,0.58027,0.65227,0.4859,0.96687,1.27607,1.4229,0.0093664,0.0093664,0.0093664
66,2853.89,0.71853,0.87545,1.20737,0.77589,0.56216,0.65774,0.49711,0.93763,1.27213,1.383,0.0093565,0.0093565,0.0093565
67,2899.2,0.71194,0.89853,1.2073,0.69698,0.58331,0.63679,0.47587,0.93754,1.30173,1.38326,0.0093466,0.0093466,0.0093466
68,2945.58,0.70569,0.87921,1.19561,0.73437,0.58191,0.65671,0.48652,0.94657,1.26411,1.38852,0.0093367,0.0093367,0.0093367
69,2991.15,0.71172,0.8546,1.19921,0.70602,0.59955,0.6698,0.49936,0.94668,1.24196,1.39497,0.0093268,0.0093268,0.0093268
70,3035.95,0.7011,0.84221,1.19187,0.71077,0.59745,0.65133,0.48211,0.929,1.3079,1.39832,0.0093169,0.0093169,0.0093169
71,3080.76,0.71643,0.8631,1.20651,0.72328,0.56154,0.63636,0.47068,0.95087,1.29897,1.39175,0.009307,0.009307,0.009307
72,3125.83,0.71161,0.87131,1.207,0.73008,0.59781,0.66115,0.49477,0.9406,1.26251,1.38611,0.0092971,0.0092971,0.0092971
73,3170.74,0.70364,0.84319,1.19399,0.7379,0.58233,0.65472,0.4877,0.95821,1.2525,1.42295,0.0092872,0.0092872,0.0092872
74,3215.88,0.69645,0.84151,1.18785,0.77629,0.58867,0.67253,0.50469,0.92915,1.25921,1.39233,0.0092773,0.0092773,0.0092773
75,3260.7,0.71458,0.84349,1.1985,0.7203,0.58696,0.64885,0.48613,0.94991,1.32152,1.40408,0.0092674,0.0092674,0.0092674
76,3305.28,0.69006,0.82449,1.1864,0.73849,0.58891,0.64672,0.47616,0.9597,1.2844,1.40099,0.0092575,0.0092575,0.0092575
77,3350.31,0.69299,0.8258,1.18955,0.72197,0.59435,0.66426,0.49136,0.96358,1.25227,1.41793,0.0092476,0.0092476,0.0092476
78,3394.74,0.69618,0.80637,1.18717,0.72331,0.59781,0.66131,0.49471,0.93341,1.26282,1.39079,0.0092377,0.0092377,0.0092377
79,3439.61,0.70492,0.82719,1.19528,0.77263,0.56101,0.66533,0.50035,0.9451,1.24225,1.40185,0.0092278,0.0092278,0.0092278
80,3484.12,0.69125,0.80807,1.1832,0.72226,0.57159,0.62908,0.46817,0.95562,1.33727,1.4159,0.0092179,0.0092179,0.0092179
81,3529.25,0.68728,0.80307,1.17667,0.78307,0.58037,0.6671,0.49919,0.94853,1.21714,1.41222,0.009208,0.009208,0.009208
82,3574.14,0.69456,0.8166,1.1888,0.76317,0.59379,0.67578,0.51064,0.93667,1.19288,1.3755,0.0091981,0.0091981,0.0091981
83,3618.98,0.68172,0.80441,1.18129,0.74517,0.55444,0.64531,0.48916,0.93557,1.25357,1.40982,0.0091882,0.0091882,0.0091882
84,3664.79,0.70036,0.81363,1.19678,0.79208,0.5879,0.68011,0.50889,0.9414,1.18444,1.39185,0.0091783,0.0091783,0.0091783
85,3704.82,0.67883,0.78085,1.16935,0.72059,0.60942,0.66904,0.49948,0.95749,1.22055,1.43503,0.0091684,0.0091684,0.0091684
86,3739.09,0.68012,0.78342,1.16874,0.76787,0.56756,0.65384,0.48568,0.9374,1.24396,1.3937,0.0091585,0.0091585,0.0091585
87,3773.71,0.67255,0.76476,1.16966,0.72793,0.59914,0.6661,0.50149,0.92638,1.21346,1.38148,0.0091486,0.0091486,0.0091486
88,3808.17,0.67368,0.7608,1.17179,0.76689,0.57282,0.65798,0.50226,0.94044,1.24004,1.41113,0.0091387,0.0091387,0.0091387
89,3842.54,0.67245,0.76948,1.17136,0.73507,0.60978,0.67757,0.51429,0.91643,1.19262,1.36203,0.0091288,0.0091288,0.0091288
90,3877.36,0.6833,0.77699,1.17507,0.76222,0.55037,0.64454,0.48407,0.93546,1.24713,1.39112,0.0091189,0.0091189,0.0091189
91,3911.56,0.67348,0.77856,1.16738,0.72826,0.5722,0.64653,0.48398,0.94008,1.27353,1.40819,0.009109,0.009109,0.009109
92,3946.05,0.67609,0.75038,1.16551,0.7128,0.61889,0.66535,0.49923,0.93326,1.17092,1.38672,0.0090991,0.0090991,0.0090991
93,3980.52,0.67655,0.76655,1.17019,0.74644,0.60262,0.66528,0.50268,0.92617,1.25128,1.38876,0.0090892,0.0090892,0.0090892
94,4015.02,0.66521,0.73556,1.16209,0.78397,0.58645,0.69142,0.51803,0.92605,1.13437,1.36993,0.0090793,0.0090793,0.0090793
95,4049.23,0.66274,0.75072,1.16039,0.75056,0.59232,0.67069,0.50707,0.94537,1.24647,1.42598,0.0090694,0.0090694,0.0090694
96,4084.01,0.65571,0.74789,1.1545,0.74632,0.60701,0.67042,0.50459,0.9501,1.21367,1.41882,0.0090595,0.0090595,0.0090595
97,4118.38,0.65636,0.7418,1.1609,0.69852,0.61883,0.6552,0.49238,0.93817,1.24414,1.3971,0.0090496,0.0090496,0.0090496
98,4153.03,0.64463,0.7215,1.14984,0.78268,0.59418,0.67518,0.49851,0.97061,1.22773,1.44303,0.0090397,0.0090397,0.0090397
99,4187.42,0.65423,0.70822,1.15411,0.76906,0.57954,0.66834,0.50357,0.92218,1.2075,1.38653,0.0090298,0.0090298,0.0090298
100,4221.9,0.65487,0.72994,1.15562,0.75095,0.58883,0.6662,0.49226,0.95331,1.27378,1.42591,0.0090199,0.0090199,0.0090199
101,4256.56,0.66301,0.73438,1.16005,0.72749,0.59723,0.66087,0.49982,0.91638,1.19702,1.35992,0.00901,0.00901,0.00901
102,4290.69,0.65787,0.74035,1.15539,0.74953,0.60837,0.67542,0.51484,0.92482,1.20565,1.39899,0.0090001,0.0090001,0.0090001
103,4325.36,0.65201,0.7229,1.15363,0.7656,0.59508,0.67757,0.51333,0.92109,1.20459,1.39837,0.0089902,0.0089902,0.0089902
104,4359.75,0.65786,0.74322,1.16229,0.7693,0.60209,0.68359,0.51994,0.91964,1.17361,1.3861,0.0089803,0.0089803,0.0089803
105,4394.02,0.64873,0.71963,1.14537,0.77927,0.59797,0.67631,0.51458,0.92719,1.20205,1.40384,0.0089704,0.0089704,0.0089704
106,4428.59,0.65662,0.71715,1.15418,0.7595,0.59882,0.67494,0.50559,0.95217,1.19382,1.42058,0.0089605,0.0089605,0.0089605
107,4462.78,0.64334,0.71541,1.15006,0.79851,0.58765,0.6688,0.50405,0.95878,1.20511,1.42993,0.0089506,0.0089506,0.0089506
108,4497.31,0.64847,0.71913,1.15233,0.73959,0.61475,0.68187,0.51572,0.92802,1.16818,1.38385,0.0089407,0.0089407,0.0089407
109,4531.59,0.65471,0.72936,1.15395,0.73514,0.61586,0.67532,0.50091,0.94599,1.18373,1.40201,0.0089308,0.0089308,0.0089308
110,4566.26,0.64807,0.71885,1.15143,0.75473,0.59937,0.67238,0.50931,0.94455,1.19184,1.40602,0.0089209,0.0089209,0.0089209
111,4602.29,0.65187,0.71955,1.1525,0.76188,0.59742,0.67123,0.50434,0.94058,1.21365,1.41258,0.008911,0.008911,0.008911
112,4636.72,0.64153,0.70494,1.14346,0.75416,0.6095,0.68477,0.51408,0.91589,1.15515,1.38941,0.0089011,0.0089011,0.0089011
113,4671.32,0.65457,0.72519,1.1507,0.78263,0.60874,0.69845,0.53036,0.92003,1.16069,1.39365,0.0088912,0.0088912,0.0088912
114,4706.16,0.64478,0.69909,1.15234,0.763,0.58274,0.66919,0.5068,0.92733,1.18711,1.38377,0.0088813,0.0088813,0.0088813
115,4740.76,0.6472,0.69789,1.1404,0.79345,0.61427,0.68879,0.51873,0.93029,1.13781,1.38959,0.0088714,0.0088714,0.0088714
116,4775.47,0.63373,0.68253,1.13661,0.76761,0.56967,0.66037,0.49514,0.93434,1.24293,1.40606,0.0088615,0.0088615,0.0088615
117,4809.8,0.63999,0.68034,1.13829,0.76281,0.61001,0.67877,0.50863,0.92814,1.20124,1.4077,0.0088516,0.0088516,0.0088516
118,4844.1,0.6257,0.66579,1.12599,0.75321,0.60755,0.66518,0.50672,0.92995,1.21967,1.4104,0.0088417,0.0088417,0.0088417
119,4878.86,0.63591,0.69443,1.1418,0.77355,0.58384,0.66409,0.49922,0.9492,1.23477,1.42158,0.0088318,0.0088318,0.0088318
120,4913.16,0.62017,0.68406,1.12901,0.77752,0.59111,0.67867,0.51433,0.94318,1.18575,1.42233,0.0088219,0.0088219,0.0088219
121,4947.39,0.63342,0.68196,1.13966,0.77022,0.60878,0.68154,0.51892,0.92552,1.21051,1.41987,0.008812,0.008812,0.008812
122,4982.42,0.64045,0.67572,1.14128,0.68331,0.66104,0.68599,0.52256,0.91831,1.16478,1.3885,0.0088021,0.0088021,0.0088021
123,5016.76,0.63578,0.66269,1.13237,0.76022,0.61195,0.67571,0.5023,0.95342,1.2276,1.43145,0.0087922,0.0087922,0.0087922
124,5051.37,0.61669,0.65432,1.1301,0.75894,0.60222,0.66878,0.49929,0.95619,1.22787,1.42128,0.0087823,0.0087823,0.0087823
125,5086.11,0.63478,0.68476,1.13874,0.78937,0.60043,0.67749,0.50851,0.94143,1.2031,1.43246,0.0087724,0.0087724,0.0087724
126,5120.38,0.62827,0.65396,1.12746,0.76717,0.61149,0.67124,0.50446,0.94634,1.21512,1.41684,0.0087625,0.0087625,0.0087625
127,5154.95,0.62291,0.6734,1.13484,0.74645,0.61447,0.6636,0.49795,0.93726,1.22443,1.41951,0.0087526,0.0087526,0.0087526
