epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2637.04,0.85085,1.13878,1.26127,0.70186,0.57903,0.64678,0.45713,1.04752,1.34375,1.3888,0.0095941,0.0095941,0.0095941
43,2684.33,0.87025,1.11909,1.26088,0.7335,0.57419,0.65457,0.46604,1.02843,1.2781,1.38097,0.0095842,0.0095842,0.0095842
44,2737.6,0.84348,1.06135,1.25105,0.73494,0.58358,0.65733,0.47029,1.02129,1.26651,1.36435,0.0095743,0.0095743,0.0095743
45,2784.76,0.85307,1.11123,1.2573,0.74684,0.59194,0.65983,0.47603,1.01516,1.27385,1.36859,0.0095644,0.0095644,0.0095644
46,2831.77,0.83964,1.07585,1.2469,0.72994,0.58725,0.65502,0.4731,0.99706,1.29137,1.34095,0.0095545,0.0095545,0.0095545
47,2878.86,0.83686,1.06795,1.24832,0.72427,0.5667,0.639,0.46023,1.02548,1.3269,1.36522,0.0095446,0.0095446,0.0095446
48,2925.43,0.82869,1.0823,1.23942,0.6905,0.5857,0.6247,0.44614,1.02777,1.33351,1.36743,0.0095347,0.0095347,0.0095347
49,2972.53,0.83714,1.07223,1.24318,0.74041,0.60878,0.66693,0.48209,0.99071,1.25672,1.34632,0.0095248,0.0095248,0.0095248
50,3032.58,0.82909,1.03168,1.23589,0.73976,0.59753,0.66962,0.49102,1.00277,1.27552,1.35635,0.0095149,0.0095149,0.0095149
51,3098.77,0.8302,1.03905,1.23921,0.74179,0.59378,0.67279,0.48703,1.0082,1.26111,1.35265,0.009505,0.009505,0.009505
52,3164.87,0.82175,1.02986,1.22843,0.75186,0.5917,0.67259,0.48967,0.99433,1.27082,1.33371,0.0094951,0.0094951,0.0094951
53,3231.76,0.82403,1.0176,1.23187,0.71623,0.5935,0.64552,0.46779,1.00353,1.3028,1.35516,0.0094852,0.0094852,0.0094852
54,3304.42,0.81771,0.99536,1.22394,0.72445,0.59382,0.65953,0.47872,1.00792,1.27506,1.34401,0.0094753,0.0094753,0.0094753
55,3379.76,0.80278,0.98846,1.22586,0.75482,0.58131,0.6605,0.48241,0.96764,1.24301,1.32354,0.0094654,0.0094654,0.0094654
56,3452.35,0.81043,0.98497,1.22056,0.65383,0.62326,0.63715,0.46598,1.00038,1.29242,1.35685,0.0094555,0.0094555,0.0094555
57,3525.06,0.8058,0.97839,1.21243,0.76021,0.5991,0.69051,0.5026,0.96404,1.21508,1.31721,0.0094456,0.0094456,0.0094456
58,3597.04,0.79588,0.95076,1.21379,0.74955,0.60551,0.68104,0.49593,0.99308,1.23153,1.33652,0.0094357,0.0094357,0.0094357
59,3669.77,0.81134,0.95984,1.22179,0.80761,0.59323,0.69059,0.49986,0.99042,1.21379,1.35098,0.0094258,0.0094258,0.0094258
60,3740.91,0.78372,0.95593,1.20643,0.69349,0.62423,0.66302,0.48393,0.99556,1.24226,1.34126,0.0094159,0.0094159,0.0094159
61,3812.95,0.80132,0.97736,1.22266,0.74667,0.60111,0.66758,0.48028,0.99826,1.21967,1.34288,0.009406,0.009406,0.009406
62,3885.78,0.80419,0.95723,1.21683,0.76301,0.60554,0.67139,0.49182,0.97138,1.20417,1.32889,0.0093961,0.0093961,0.0093961
63,3958.34,0.79047,0.94836,1.2085,0.69393,0.63158,0.67199,0.49537,0.98735,1.23188,1.33228,0.0093862,0.0093862,0.0093862
64,4030.24,0.78937,0.95657,1.2008,0.7677,0.61377,0.67908,0.49627,0.98636,1.21898,1.33475,0.0093763,0.0093763,0.0093763
65,4104.13,0.78371,0.93228,1.20448,0.75229,0.62079,0.67923,0.49699,0.98824,1.23125,1.34763,0.0093664,0.0093664,0.0093664
66,4177.12,0.77272,0.92934,1.19677,0.78696,0.59621,0.69101,0.50749,0.98006,1.21282,1.3455,0.0093565,0.0093565,0.0093565
67,4231.23,0.78173,0.89287,1.18968,0.7537,0.62294,0.6878,0.49923,0.99252,1.2218,1.34888,0.0093466,0.0093466,0.0093466
68,4278.43,0.78007,0.91804,1.19909,0.72783,0.60408,0.66316,0.47934,0.99003,1.25888,1.33377,0.0093367,0.0093367,0.0093367
69,4326.38,0.78872,0.91148,1.19682,0.74582,0.64214,0.70401,0.51149,1.0063,1.16787,1.35238,0.0093268,0.0093268,0.0093268
70,4373.89,0.77868,0.91813,1.19932,0.7621,0.60543,0.69073,0.50843,0.97477,1.19332,1.31908,0.0093169,0.0093169,0.0093169
71,4421.44,0.76906,0.89365,1.18904,0.74224,0.62489,0.69219,0.49859,1.00426,1.19516,1.34908,0.009307,0.009307,0.009307
72,4468.28,0.77695,0.88787,1.19254,0.7942,0.62837,0.70778,0.51928,0.97288,1.17323,1.32853,0.0092971,0.0092971,0.0092971
73,4524.96,0.76364,0.88239,1.18163,0.77572,0.61563,0.68759,0.50461,0.966,1.17542,1.31406,0.0092872,0.0092872,0.0092872
74,4572.24,0.76103,0.87326,1.18581,0.77532,0.60417,0.68742,0.50543,0.975,1.17635,1.32859,0.0092773,0.0092773,0.0092773
75,4619.47,0.77069,0.89434,1.20263,0.75453,0.6177,0.6875,0.50523,0.99892,1.1915,1.36472,0.0092674,0.0092674,0.0092674
76,4666.63,0.76875,0.8764,1.18815,0.74413,0.63466,0.69102,0.503,0.97744,1.19608,1.32508,0.0092575,0.0092575,0.0092575
77,4713.82,0.75373,0.86798,1.17848,0.79163,0.62797,0.7058,0.51768,0.98057,1.14724,1.32951,0.0092476,0.0092476,0.0092476
78,4760.57,0.74795,0.85338,1.17905,0.76747,0.61585,0.70178,0.51396,0.98253,1.16725,1.32591,0.0092377,0.0092377,0.0092377
